mal_id,url,name,name_kanji,nicknames,favorites,about,image_jpg_url,image_webp_url,image_webp_small_url
63337,https://myanimelist.net/character/63337/Ichie_Shinoda,Ichie Shinoda,忍田 一恵,,0,Furuya Mero's Classmate and friend.,https://cdn.myanimelist.net/images/characters/16/167725.jpg,https://cdn.myanimelist.net/images/characters/16/167725.webp,https://cdn.myanimelist.net/images/characters/16/167725t.webp
63339,https://myanimelist.net/character/63339/Megane_no_otoko,Megane no otoko,眼鏡の男,,0,Full name unknown. Danichirou's SP leader.,https://cdn.myanimelist.net/images/characters/5/167723.jpg,https://cdn.myanimelist.net/images/characters/5/167723.webp,https://cdn.myanimelist.net/images/characters/5/167723t.webp
132079,https://myanimelist.net/character/132079/Rob,Rob,ロブ,,0,,https://cdn.myanimelist.net/images/characters/7/288332.jpg,https://cdn.myanimelist.net/images/characters/7/288332.webp,https://cdn.myanimelist.net/images/characters/7/288332t.webp
132080,https://myanimelist.net/character/132080/Rumy,Rumy,ルミ,,0,,https://cdn.myanimelist.net/images/characters/13/288333.jpg,https://cdn.myanimelist.net/images/characters/13/288333.webp,https://cdn.myanimelist.net/images/characters/13/288333t.webp
132081,https://myanimelist.net/character/132081/Stan,Stan,スタン,,0,,https://cdn.myanimelist.net/images/characters/10/288334.jpg,https://cdn.myanimelist.net/images/characters/10/288334.webp,https://cdn.myanimelist.net/images/characters/10/288334t.webp
132082,https://myanimelist.net/character/132082/Stella,Stella,ステラ,,0,,https://cdn.myanimelist.net/images/characters/6/288335.jpg,https://cdn.myanimelist.net/images/characters/6/288335.webp,https://cdn.myanimelist.net/images/characters/6/288335t.webp
132083,https://myanimelist.net/character/132083/Tim,Tim,ティム,,0,,https://cdn.myanimelist.net/images/characters/13/288336.jpg,https://cdn.myanimelist.net/images/characters/13/288336.webp,https://cdn.myanimelist.net/images/characters/13/288336t.webp
132084,https://myanimelist.net/character/132084/Zenan,Zenan,ゼナン,,0,,https://cdn.myanimelist.net/images/characters/5/288337.jpg,https://cdn.myanimelist.net/images/characters/5/288337.webp,https://cdn.myanimelist.net/images/characters/5/288337t.webp
132085,https://myanimelist.net/character/132085/Egiel_Kalra,Egiel Kalra,エジール・カルラ,,1,A Grados officer who works under and fell in love with Lt. Gale.,https://cdn.myanimelist.net/images/characters/11/288338.jpg,https://cdn.myanimelist.net/images/characters/11/288338.webp,https://cdn.myanimelist.net/images/characters/11/288338t.webp
132086,https://myanimelist.net/character/132086/Suhl,Suhl,ズール,,0,,https://cdn.myanimelist.net/images/characters/6/288339.jpg,https://cdn.myanimelist.net/images/characters/6/288339.webp,https://cdn.myanimelist.net/images/characters/6/288339t.webp
132087,https://myanimelist.net/character/132087/Papa_A,Papa A,パパA,,0,,https://cdn.myanimelist.net/images/characters/9/288340.jpg,https://cdn.myanimelist.net/images/characters/9/288340.webp,https://cdn.myanimelist.net/images/characters/9/288340t.webp
132088,https://myanimelist.net/character/132088/Papa_B,Papa B,パパB,,0,,https://cdn.myanimelist.net/images/characters/15/288341.jpg,https://cdn.myanimelist.net/images/characters/15/288341.webp,https://cdn.myanimelist.net/images/characters/15/288341t.webp
132089,https://myanimelist.net/character/132089/Papa_C,Papa C,パパC,,0,,https://cdn.myanimelist.net/images/characters/10/288342.jpg,https://cdn.myanimelist.net/images/characters/10/288342.webp,https://cdn.myanimelist.net/images/characters/10/288342t.webp
132090,https://myanimelist.net/character/132090/Tabiusagi-san,Tabiusagi-san,旅うさぎさん,Rambler,2,"Clover's crush, Tabiusagi-san (known as Rambler in the English version) is a male rabbit that travels to different forests all the time, and tells the other animals stories about his adventures. He is quite a bit older than all the other rabbits and may have a crush on Clover. Clover is supposed to adventure with him when she gets older, but he always refuses. His past is very painful to him when he was young. He played hooky outside his forest until he witnessed his own home being destroyed by humans, who tried to claim it. Since then, he has been travelling ever since. In the manga's epilogue, he is now travelling with Clover.",https://cdn.myanimelist.net/images/characters/16/288343.jpg,https://cdn.myanimelist.net/images/characters/16/288343.webp,https://cdn.myanimelist.net/images/characters/16/288343t.webp
132091,https://myanimelist.net/character/132091/Batoukannon,Batoukannon,馬頭観音,,0,,https://cdn.myanimelist.net/images/characters/9/288344.jpg,https://cdn.myanimelist.net/images/characters/9/288344.webp,https://cdn.myanimelist.net/images/characters/9/288344t.webp
