manga_id,title,type,score,scored_by,status,volumes,chapters,start_date,end_date,members,favorites,sfw,approved,real_start_date,real_end_date,genres,themes,demographics
106993,Henkutsu na Yankee-kun wo Hottokenai,manga,6.73,190,finished,1,7,2014-03-28,2015-04-24,636,0,False,True,2014-03-28,2015-04-24,"['Boys Love', 'Erotica']",[],[]
122204,Dead Company,manga,6.38,365,finished,3,19,2019-03-29,2020-09-11,2051,8,True,True,2019-03-29,2020-09-11,"['Drama', 'Horror']",['Psychological'],[]
133469,"Gyakkou shita Akuyaku Reijou wa, Nazeka Maryoku wo Ushinatta node Shinsou no Reijou ni Narimasu",manga,6.85,143,currently_publishing,,,2021-02-05,,777,1,True,True,2021-02-05,,"['Fantasy', 'Romance']","['Time Travel', 'Villainess']",[]
12793,Blassreiter Genetic,manga,6.64,233,finished,3,15,2007-12-05,2009-02-19,1005,2,True,True,2007-12-05,2009-02-19,"['Action', 'Drama', 'Ecchi', 'Horror', 'Sci-Fi', 'Supernatural']",[],['Shounen']
55003,"Hirari, Bessatsu: Bukatsu Joshi Anthology - Houkago!",manga,6.5600000000000005,273,finished,2,39,2012-10-30,2014-04-30,1149,0,True,True,2012-10-30,2014-04-30,"['Girls Love', 'Sports']",['School'],[]
2600,Honnouteki ni Otoko,manga,6.57,268,finished,1,8,,,538,1,False,True,,,"['Boys Love', 'Erotica']",['School'],[]
31095,Honnou Honey,manga,6.41,352,finished,1,6,2007-02-10,2008-12-10,777,0,True,True,2007-02-10,2008-12-10,['Romance'],[],['Shoujo']
140657,Weekend Citron,manga,6.66,222,finished,1,7,2020-01-15,2020-10-15,506,1,True,True,2020-01-15,2020-10-15,['Boys Love'],[],[]
48341,Josou Danshi Anthology Syrup!,manga,6.65,227,finished,2,33,2010-12-10,2010-12-10,655,0,True,True,2010-12-10,2010-12-10,['Boys Love'],['Crossdressing'],[]
23108,Setsunai Himitsu,manga,6.65,227,finished,1,,2008-03-01,,402,0,True,True,2008-03,,['Romance'],[],['Josei']
108155,Youkoso! Sukebe Elf no Mori e,light_novel,6.91,124,finished,1,6,2017-07-28,2017-07-28,632,12,False,True,2017-07-28,2017-07-28,"['Fantasy', 'Hentai', 'Supernatural']",['Harem'],[]
136469,"Retsujou Paradox: Banken wa Yoru, Kiba wo Muku",manga,6.91,124,finished,1,8,2017-08-09,2018-05-29,262,0,False,True,2017-08-09,2018-05-29,"['Boys Love', 'Drama', 'Erotica']",[],[]
73115,Katekyo Hitman Reborn! Reborn VS Kyouaku Hitmen,one_shot,6.52,294,finished,,1,2005-06-30,2005-06-30,947,9,True,True,2005-06-30,2005-06-30,"['Action', 'Comedy']","['Organized Crime', 'Super Power']",['Shounen']
55659,if: Jigen no Kanata,manga,6.87,136,finished,1,5,2012-02-03,2013-05-02,449,3,False,True,2012-02-03,2013-05-02,"['Hentai', 'Supernatural']",[],[]
3000,Himiko-den: Renge - Gaun no Shou,manga,5.75,500,finished,1,6,1998-11-09,1999-04-09,1067,3,True,True,1998-11-09,1999-04-09,"['Action', 'Fantasy']",[],['Shounen']
144014,Tiger & Dragon: Osananajimi 3-nin no Otawamure Biyori,manga,6.67,217,finished,4,,2022-02-04,2023-03-20,994,2,True,True,2022-02-04,2023-03-20,['Romance'],['Love Polygon'],['Shoujo']
20564,Nightmare Syndrome,one_shot,6.37,368,finished,,1,2008-01-18,2008-01-18,687,2,False,True,2008-01-18,2008-01-18,"['Action', 'Erotica', 'Girls Love', 'Supernatural']",[],[]
8293,Aru Hi Bijin ni Nattara,manga,6.71,198,finished,1,,2000-01-01,,391,1,True,True,2000,,"['Drama', 'Romance']",[],['Shoujo']
44409,Ai ni Iku yo,manga,6.93,118,finished,1,5,2012-07-04,2014-01-15,419,0,True,True,2012-07-04,2014-01-15,[],[],['Shounen']
75203,Christmas ni Omoi wo Nosete,one_shot,6.58,262,finished,,1,2013-12-05,2013-12-05,553,0,True,True,2013-12-05,2013-12-05,['Romance'],['School'],['Shoujo']
101181,Kimi no Shiranai ●●,manga,6.0,472,finished,,2,2016-02-25,2016-03-25,1031,0,False,True,2016-02-25,2016-03-25,"['Boys Love', 'Erotica']",[],[]
12669,Sweet Peach!,manga,6.83,150,currently_publishing,,,2008-01-01,,604,1,False,True,2008,,"['Erotica', 'Girls Love', 'Mystery', 'Romance']",[],[]
139352,Kamiyama-san no Kamibukuro no Naka ni wa,manga,6.47,320,currently_publishing,,,2021-06-25,,1794,5,True,True,2021-06-25,,"['Comedy', 'Ecchi', 'Romance']",['School'],[]
79133,Junketsu no Maria: Exhibition,manga,6.98,106,finished,1,6,2014-07-07,2014-12-06,418,1,True,True,2014-07-07,2014-12-06,"['Comedy', 'Fantasy']",['Historical'],['Seinen']
87996,Robotics;Notes: Senomiya Misaki no Mihappyou Shuki,manga,6.86,139,finished,1,8,2012-11-27,2013-06-27,497,0,True,True,2012-11-27,2013-06-27,[],[],['Seinen']
13650,Grind,manga,6.59,256,finished,1,9,2006-02-28,2007-05-30,716,5,False,True,2006-02-28,2007-05-30,['Hentai'],[],[]
109078,E.R.I.N.A.,doujinshi,6.59,256,finished,1,,2017-08-13,2017-08-13,664,4,False,True,2017-08-13,2017-08-13,['Hentai'],[],[]
139936,"Onegai, Sonna ni Kamanaide",manga,6.59,256,finished,1,7,2019-12-13,2020-08-20,529,0,False,True,2019-12-13,2020-08-20,"['Boys Love', 'Erotica']",[],[]
